calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.1,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.15000000000000002,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.2,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.25,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.30000000000000004,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.35000000000000003,1000011.6890030081,110735.14701721433
identity,971467.0556938241,108562.75890412508,0.0033981498961676015,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5279,1,5297,0.4,996699.2421376001,110364.97659473389
identity,872645.724209152,97519.34130012523,0.10477628846516895,real,25232.186443776005,1802.2176906088134,0.9592496765847348,codesign_small_vehicle_shared,0.4636960780955365,0.4386522021457675,0.20701395124497898,0.3944898594575942,0.3304017936692886,0.2403298708383657,0.13532266297799092,0.053197684981140664,0.012709386607379209,0.0013201320132013201,1.984166352506994e-05,4742,1,5297,0.45,897877.910652928,99321.55899073405
