calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969459524498,0.43910613037413027,0.2072207747207421,0.3949618021477602,0.3307467165486183,0.24060801291396436,0.13539693832795577,0.05324152294588788,0.012709704319927531,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
context_adaptive,645743.113928704,72162.66736021498,0.3375495563526525,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3509,1,5297,0.05,670975.3003724801,73964.8850508238
context_adaptive,610962.42184192,68275.87792417035,0.3732301302624127,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3320,1,5297,0.1,636194.608285696,70078.09561477916
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.15000000000000002,635642.533808128,70016.40054436575
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.2,635642.533808128,70016.40054436575
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.25,635642.533808128,70016.40054436575
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.30000000000000004,635642.533808128,70016.40054436575
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.35000000000000003,635642.533808128,70016.40054436575
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.4,635642.533808128,70016.40054436575
context_adaptive,610410.347364352,68214.18285375694,0.3737964885784406,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969750794752,0.43910627817082176,0.2072205893486246,0.3949618631215918,0.3307466175802878,0.24060769356425474,0.13539707857177424,0.05323966798625721,0.01270974573505696,0.0013201320132013201,1.984166352506994e-05,3317,1,5297,0.45,635642.533808128,70016.40054436575
