__source__,bucket,calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold,total_gflops,total_latency_ms
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.0,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,951040.300023808,106280.04129882902,0.02435340758920146,real,25232.186443776005,1802.2176906088134,0.9927325581395349,codesign_planes_early_exit,0.9149330279212247,0.903993767010368,0.6137937304953981,0.8736216163491479,0.8493936810496325,0.8021223503250823,0.7265098456474075,0.5877665136388154,0.3629328565380343,0.11358925181370712,0.003074394660561391,5168,1,,5297,,,0.05,976272.486467584,108082.25898943783
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,501651.67528345605,56060.25398231577,0.4853690768359449,real,25232.186443776005,1802.2176906088134,0.7863372093023255,codesign_planes_early_exit,0.8276615247391238,0.8173192181190057,0.5652236539703734,0.7967750379716433,0.7740669061404415,0.7377600380370708,0.6737384254856955,0.5562295988914742,0.3517778039025535,0.11382707170760799,0.0030809147091179706,2726,1,,5297,,,0.1,526883.861727232,57862.471672924585
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,306953.409527808,34302.45914985426,0.6851047762884652,real,25232.186443776005,1802.2176906088134,0.5290697674418605,codesign_planes_early_exit,0.6899694031439053,0.679832294062876,0.4777216212100008,0.6689267868720175,0.6478724295707783,0.6224374857752883,0.5718513565730111,0.4719784337586621,0.3127214982922986,0.10854065956697048,0.0030858644842001906,1668,1,,5297,,,0.15000000000000002,332185.595971584,36104.67684046307
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,161021.72262400002,17994.39553724369,0.834812157825184,real,25232.186443776005,1802.2176906088134,0.3023255813953488,codesign_planes_early_exit,0.47313569949454787,0.4726628181080961,0.33356403299486714,0.46287713843872647,0.4516890847130592,0.42859677698360904,0.39180489115095907,0.32977302262102304,0.23190108387891747,0.09048189570902501,0.0027179188507086005,875,1,,5297,,,0.2,186253.90906777603,19796.613227852504
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,88699.96606259201,9912.341313087381,0.9090050972248442,real,25232.186443776005,1802.2176906088134,0.22093023255813954,codesign_planes_early_exit,0.393814730695852,0.39352615794805273,0.27943227201539556,0.3840281173276023,0.3733020713647784,0.3593880605587082,0.3245096325167015,0.27612499167681154,0.2045748916607081,0.08249889353589752,0.0025551728688428914,482,1,,5297,,,0.25,113932.15250636802,11714.559003696195
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,54103.298801664,6046.11690051388,0.9444968850292619,real,25232.186443776005,1802.2176906088134,0.16279069767441862,codesign_planes_early_exit,0.3545922983580425,0.3544804408871834,0.2563005468867883,0.3537386123690899,0.3434208904419796,0.32175238053336347,0.2972207081111162,0.25956615711415404,0.19658559021566682,0.07915833843057957,0.0024900524067073583,294,1,,5297,,,0.30000000000000004,79335.48524544001,7848.334591122693
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,29443.97213696,3290.4037553817034,0.9697942231451765,real,25232.186443776005,1802.2176906088134,0.12645348837209303,codesign_planes_early_exit,0.2952423461474723,0.29494711701640447,0.21547604609426543,0.28576233891100344,0.2845725765444923,0.27309585386405627,0.25227326593171473,0.22607608769511545,0.16853398263109085,0.07209105061714587,0.002165841584158416,160,1,,5297,,,0.35000000000000003,54676.15858073601,5092.621445990517
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,16746.259152896,1871.4171358733438,0.9828204644138191,real,25232.186443776005,1802.2176906088134,0.07703488372093023,codesign_planes_early_exit,0.19639544846330673,0.18743542155388832,0.1435932407509894,0.1873577714078187,0.1867863389148771,0.1772185692596106,0.17557095294798405,0.1524518247118214,0.11682523817572059,0.05360599820586429,0.002284843869002285,91,1,,5297,,,0.4,41978.445596672005,3673.634826482157
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,5704.769601536,637.515727605205,0.994147630734378,real,25232.186443776005,1802.2176906088134,0.02616279069767442,codesign_planes_early_exit,0.09853748794362538,0.09851780406668896,0.07268383006869224,0.0891089108910891,0.08899716156717252,0.08877130298847585,0.08842812243226911,0.07660865225271947,0.06362001523588201,0.03094851327599669,0.0033003300330033,31,1,,5297,,,0.45,30936.956045312007,2439.7334182140185
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.0014534883720930232,codesign_planes_early_exit,0.009900990099009901,0.009900990099009901,0.009000900090009001,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0009000900090009002,2,1,,5297,,,0.5,25600.236095488006,1843.3477375510847
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.55,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.6000000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.65,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.7000000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.75,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.8,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.8500000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.9,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.9500000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_platt.json,,platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,1.0,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.0,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.05,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.1,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.15000000000000002,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.2,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.25,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.30000000000000004,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.35000000000000003,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.4,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.45,1000011.6890030081,110735.14701721433
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,971099.006042112,108521.6288571828,0.0037757221068529523,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_early_exit,0.9151257181537812,0.9042543076046732,0.6147770594124805,0.8824829661262232,0.8495620928477391,0.8022977384669684,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5277,1,,5297,,,0.5,996331.192485888,110323.84654779162
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.55,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.6000000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.65,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.7000000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.75,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.8,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.8500000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.9,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,0.9500000000000001,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_early_exit_temperature.json,,temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,1.0,25232.186443776005,1802.2176906088134
reports/planes/cascade/codesign_planes_relaxed_context_adaptive.json,,context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_relaxed,0.9151257181537812,0.9042543353094928,0.614777023600072,0.8824830057045369,0.849562145618824,0.8022977384669684,0.7266678294128557,0.5877926629654754,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,,5297,,,0.0,1000011.6890030081,110735.14701721433
