calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.1,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.15000000000000002,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.2,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.25,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.30000000000000004,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.35000000000000003,1000011.6890030081,110735.14701721433
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.4,1000011.6890030081,110735.14701721433
identity,974595.4777333761,108912.36430313438,0.00018878610534267537,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5296,1,5297,0.45,999827.6641771521,110714.5819937432
identity,973859.3784299521,108830.10420924984,0.0009439305267132658,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5292,1,5297,0.5,999091.5648737281,110632.32189985865
